id,schedule,delay,url
10466,1752330755.934579,1.5,https://www.airalo.com/cs/taiwan-esim
10465,1752330755.933881,1.5,https://www.airalo.com/sr-CS/taiwan-esim
10464,1752330755.933036,1.5,https://www.airalo.com/sv-SE/taiwan-esim
10463,1752330755.9323158,1.5,https://www.airalo.com/mk/taiwan-esim
10462,1752330755.9315898,1.5,https://www.airalo.com/fi/taiwan-esim
10461,1752330755.930787,1.5,https://www.airalo.com/ro/taiwan-esim
10460,1752330755.930072,1.5,https://airalo.pxf.io/de/taiwan-esim/xie-xie-30days-5gb
10459,1752330755.929364,1.5,https://www.airalo.com/nl/taiwan-esim
10458,1752330755.9286652,1.5,https://www.airalo.com/uk/taiwan-esim
10457,1752330755.927969,1.5,https://airalo.pxf.io/de/taiwan-esim/xie-xie-15days-2gb
